brand,model,year,body_type,transmission,fuel_type,kilometers,color,seats,interior,payment_option,area,city,date_posted_category,price
Chevrolet,Optra,2023.0,Sedan,Automatic,Benzine,28000.0,Red,5.0,Full Leather,Cash,Dokki,Giza,Less than a day,675000
Renault,Duster,2018.0,SUV,Automatic,Benzine,140000.0,Brown,5.0,Full Leather,Cash,Tanta,Gharbia,Less than a day,625000
Daewoo,Nubira,1999.0,Sedan,Automatic,Benzine,270000.0,Gold,5.0,Full Leather,Cash,Nasr City,Cairo,Less than a day,260000
Daewoo,Nubira,1999.0,Other,Automatic,Benzine,1.0,Green,5.0,Full Leather,Cash,Badrasheen,Giza,Older than a week,210000
Opel,Mokka,2023.0,SUV,Automatic,Benzine,49000.0,Green,5.0,Part Leather,Cash,5th Settlement,New Cairo,Older than a week,1200000
Peugeot,301,2022.0,Other,Automatic,Benzine,45000.0,Silver,5.0,Full Leather,Cash,Smoha,Alexandria,Older than a week,700000
Subaru,XV,2015.0,Hatchback,Automatic,Benzine,138000.0,White,5.0,Velour,Cash,Shorouk City,Cairo,Older than a week,890000
BMW,520,2021.0,Sedan,Automatic,Benzine,61000.0,Gray,5.0,Full Leather,Cash or Installment,Nasr City,Cairo,Older than a week,2850000
Mercedes-Benz,C180,2022.0,Sedan,Automatic,Benzine,19000.0,Black,5.0,Part Leather,Cash or Installment,New Cairo,Cairo,This week,3200000
MG,MG 5,2026.0,Sedan,Automatic,Benzine,115500.0,Silver,5.0,Full Leather,Cash or Installment,Nasr City,Cairo,Less than a day,995000
Opel,Astra,2020.0,Sedan,Automatic,Benzine,89000.0,Other Color,5.0,Cloth,Cash,Maryotaya,Giza,This week,810000
Opel,Corsa,2018.0,Hatchback,Automatic,Benzine,150000.0,Gray,5.0,Full Leather,Cash or Installment,Nasr City,Cairo,Less than a day,670000
Seat,Ateca,2025.0,SUV,Automatic,Benzine,115500.0,White,5.0,Full Leather,Cash or Installment,New Cairo,Cairo,This week,1749000
Speranza,A113,2011.0,Sedan,Manual,Benzine,214000.0,Silver,5.0,Full Leather,Cash,Ard El Lewa,Giza,This week,225000
Skoda,Octavia,2021.0,Sedan,Automatic,Benzine,95000.0,Gray,5.0,Full Leather,Cash,5th Settlement,New Cairo,Older than a week,1425000
Mercedes-Benz,C180,2022.0,Sedan,Automatic,Benzine,78000.0,Silver,5.0,Full Leather,Cash,Sidi Beshr,Alexandria,This week,2950000
Suzuki,Van,2006.0,Sedan,Manual,Benzine,1.0,White,5.0,Full Leather,Cash,Banha,Qalyubia,Older than a week,210000
Faw,Van,2011.0,Sedan,Manual,Benzine,53685.0,Silver,5.0,Full Leather,Cash,Helwan,Cairo,Older than a week,150000
Toyota,Corolla,2025.0,Sedan,Automatic,Benzine,115500.0,Blue- Navy Blue,5.0,Full Leather,Cash,Sheikh Zayed,Giza,Older than a week,1530000
Geely,Emgrand 7,2017.0,Sedan,Manual,Benzine,215000.0,Black,5.0,Full Leather,Cash,Haram,Giza,This week,320000
Chery,Envy,2018.0,Sedan,Manual,Natural Gas,300000.0,Black,5.0,Full Leather,Cash,Hadayek al-Kobba,Cairo,Older than a week,300000
Jeep,Cherokee,2014.0,4X4,Automatic,Benzine,18000.0,Gray,4.0,Full Leather,Cash,Tura,Cairo,Older than a week,1700000
Toyota,Corolla,2022.0,Sedan,Automatic,Benzine,87000.0,Other Color,5.0,Cloth,Cash,1st Settlement,New Cairo,Older than a week,1160000
Hyundai,Avante,2023.0,Sedan,Automatic,Benzine,9000.0,White,5.0,Full Leather,Cash or Installment,Sheikh Zayed,Giza,Older than a week,1400000
Seat,Ibiza,2010.0,Hatchback,Automatic,Benzine,155000.0,Red,5.0,Full Leather,Cash,Mohandessin,Giza,Older than a week,450000
Hyundai,Verna,2016.0,Sedan,Automatic,Benzine,47000.0,Gray,5.0,Full Leather,Cash,Giza District,Giza,Older than a week,450000
Chevrolet,Pickup/Dababa,2026.0,Pickup,Manual,Diesel,115500.0,White,5.0,Full Leather,Cash or Installment,Marg,Cairo,This week,1035000
Chevrolet,Aveo,2016.0,Sedan,Automatic,Benzine,166000.0,Burgundy,4.0,Full Leather,Cash,Hadayek al-Kobba,Cairo,This week,415000
Renault,Logan,2010.0,Sedan,Manual,Benzine,240.0,Gray,5.0,Full Leather,Cash,Maadi,Cairo,Older than a week,305000
Chevrolet,Pickup/Dababa,2026.0,Pickup,Manual,Diesel,115500.0,White,5.0,Full Leather,Cash or Installment,Marg,Cairo,This week,1750000
Changan,UNI-T,2024.0,Estate,Automatic,Benzine,19500.0,Gray,5.0,Full Leather,Cash,Sheikh Zayed,Giza,Less than a day,1320000
Jac,Other,2010.0,Sedan,Automatic,Benzine,270000.0,Burgundy,5.0,Full Leather,Cash,Mansura,Dakahlia,This week,320000
Mercedes-Benz,C200,2023.0,Sedan,Automatic,Benzine,9000.0,Red,5.0,Full Leather,Cash,5th Settlement,New Cairo,This week,3250000
Lada,2107,2009.0,Other,Manual,Natural Gas,500000.0,Yellow,5.0,Part Leather,Cash,Bacchus,Alexandria,Older than a week,160000
Opel,Corsa,2006.0,Estate,Manual,Benzine,255.0,Silver,5.0,Full Leather,Cash,Ain Shams,Cairo,Less than a day,300000
Fiat,Other,1993.0,Hatchback,Manual,Benzine,1.0,Silver,5.0,Other,Cash,1st Settlement,New Cairo,Older than a week,150000
Jeep,Renegade,2021.0,SUV,Automatic,Benzine,58000.0,Red,5.0,Full Leather,Exchange,Suez District,Suez,This week,1280000
